epoch,fc2,multi2,fc5,multi5
0,0.8997,0.8632,0.7724,0.8069
1,0.6895,0.6947,0.6239,0.74
2,0.5595,0.6106,0.5418,0.5604
3,0.5461,0.5277,0.4944,0.5
4,0.4821,0.499,0.4573,0.4661
5,0.4906,0.4694,0.4434,0.4554
6,0.4583,0.4332,0.4357,0.4259
7,0.456,0.4211,0.4231,0.4179
8,0.4457,0.4121,0.4142,0.4051
9,0.4349,0.394,0.3986,0.3984
10,0.4199,0.3841,0.3925,0.3935
11,0.4183,0.3768,0.3809,0.3805
12,0.4157,0.3689,0.3716,0.3684
13,0.3972,0.373,0.3815,0.3528
14,0.3924,0.3561,0.37,0.3485
15,0.405,0.3532,0.363,0.3487
16,0.3907,0.3441,0.3587,0.3576
17,0.3911,0.3506,0.3547,0.3447
18,0.3885,0.3461,0.3744,0.3319
19,0.3861,0.3352,0.3586,0.3323
20,0.3755,0.3337,0.3531,0.3274
21,0.3762,0.3322,0.3575,0.3311
22,0.3761,0.3324,0.3431,0.323
23,0.3709,0.3322,0.3471,0.3264
24,0.3747,0.3236,0.3472,0.3277
25,0.364,0.3224,0.3476,0.3206
26,0.3704,0.3293,0.3389,0.3259
27,0.3738,0.3193,0.3487,0.3203
28,0.3698,0.3212,0.3399,0.3221
29,0.3605,0.3141,0.3401,0.3115
30,0.3673,0.3137,0.3394,0.3147
31,0.359,0.3267,0.3402,0.3107
32,0.3656,0.3105,0.3346,0.313
33,0.3627,0.3097,0.3407,0.312
34,0.3577,0.309,0.3377,0.312
35,0.3634,0.3074,0.3341,0.3045
36,0.3544,0.306,0.3334,0.306
37,0.3553,0.3085,0.334,0.3095
38,0.3595,0.3079,0.3348,0.3024
39,0.355,0.304,0.3404,0.3143
40,0.3545,0.3026,0.3357,0.3053
41,0.3507,0.3073,0.3352,0.3017
42,0.3554,0.2998,0.3323,0.3009
43,0.3483,0.3026,0.3465,0.2994
44,0.3545,0.3013,0.3362,0.2982
45,0.349,0.298,0.3293,0.3038
46,0.3516,0.3016,0.3281,0.3011
47,0.3508,0.3005,0.3322,0.3014
48,0.3491,0.297,0.3317,0.2956
49,0.3434,0.3008,0.3316,0.2958
50,0.3488,0.2964,0.3285,0.2962
51,0.3467,0.2941,0.3273,0.3023
