epoch,fc2,multi2,fc5,multi5
0,0.5203,0.5486,0.5451,0.5415
1,0.4089,0.4202,0.4022,0.4129
2,0.3838,0.3664,0.4091,0.3883
3,0.3245,0.3457,0.3603,0.3235
4,0.3254,0.3329,0.3217,0.302
5,0.3112,0.2947,0.3282,0.2982
6,0.313,0.278,0.3123,0.2835
7,0.2769,0.2738,0.3136,0.2622
8,0.2748,0.2647,0.2826,0.2622
9,0.2985,0.2685,0.2819,0.2542
10,0.2627,0.2428,0.3046,0.2431
11,0.2545,0.2477,0.275,0.242
12,0.2688,0.2511,0.2589,0.2389
13,0.2562,0.2361,0.2581,0.2285
14,0.2489,0.2333,0.2612,0.2256
15,0.2506,0.2325,0.2538,0.2677
16,0.2448,0.236,0.2987,0.2193
17,0.2501,0.2249,0.2413,0.2211
18,0.2383,0.2239,0.2524,0.2218
19,0.2354,0.2329,0.2409,0.2134
20,0.235,0.2163,0.2416,0.2141
21,0.2308,0.2191,0.24,0.2138
22,0.2318,0.2175,0.2441,0.2085
23,0.2307,0.213,0.2539,0.2106
24,0.227,0.2191,0.2337,0.2071
25,0.2344,0.2108,0.242,0.2056
26,0.2229,0.2104,0.2339,0.2037
27,0.2253,0.2115,0.2377,0.205
28,0.2215,0.2122,0.2339,0.2023
29,0.2243,0.2056,0.2315,0.2047
30,0.2251,0.2055,0.2294,0.2004
31,0.2194,0.2027,0.236,0.2047
32,0.2226,0.2048,0.2382,0.198
33,0.219,0.2027,0.25,0.197
34,0.2196,0.205,0.2247,0.1977
35,0.2232,0.2085,0.2232,0.1991
36,0.2246,0.206,0.2274,0.1965
37,0.2159,0.1997,0.2216,0.1968
38,0.2252,0.2033,0.2244,0.1949
39,0.2243,0.2012,0.2281,0.1925
40,0.2177,0.2038,0.2261,0.1936
41,0.2138,0.2004,0.2332,0.1941
42,0.2164,0.1958,0.2186,0.1959
43,0.2157,0.1989,0.2204,0.1946
44,0.2115,0.1994,0.2212,0.1904
45,0.2117,0.2211,0.2264,0.1915
46,0.2119,0.194,0.2356,0.1886
47,0.2131,0.1969,0.2184,0.19
48,0.2118,0.1993,0.2169,0.1877
49,0.2143,0.1931,0.2175,0.1903
50,0.2097,0.1921,0.2158,0.1901
51,0.2139,0.1932,0.2265,0.1901
52,0.2087,0.1937,0.2185,0.1906
53,0.2096,0.1935,0.2178,0.1881
54,0.207,0.1922,0.2186,0.1887
55,0.2068,0.1948,0.2139,0.1904
56,0.2066,0.1933,0.2175,0.1867
57,0.2078,0.1941,0.2194,0.1878
58,0.2075,0.1926,0.2193,0.1893
59,0.2056,0.1907,0.2199,0.1894
60,0.2056,0.1931,0.2139,0.189
61,0.208,0.1909,0.2114,0.1876
62,0.2084,0.1925,0.2147,0.1895
63,0.2068,0.1918,0.2167,0.1871
64,0.2067,0.1895,0.215,0.1844
65,0.2078,0.188,0.2144,0.1862
66,0.2115,0.1897,0.2138,0.1851
67,0.2055,0.1883,0.2114,0.1885
68,0.2067,0.1927,0.2129,0.185
69,0.2044,0.1874,0.2141,0.1848
70,0.2069,0.1913,0.2145,0.1853
71,0.2064,0.1885,0.2131,0.1878
72,0.2026,0.1892,0.2132,0.1877
73,0.2053,0.1876,0.2098,0.1871
74,0.2049,0.1871,0.2153,0.1836
75,0.2061,0.1886,0.2123,0.1826
76,0.205,0.1874,0.2146,0.1841
77,0.2055,0.1873,0.2165,0.185
78,0.2064,0.1912,0.2141,0.1847
79,0.2049,0.1873,0.2116,0.184
80,0.2062,0.188,0.2107,0.1831
81,0.2045,0.1861,0.2141,0.1849
82,0.2057,0.1875,0.2131,0.1834
83,0.2117,0.1899,0.2098,0.1832
84,0.2044,0.1868,0.2124,0.1836
85,0.2079,0.1858,0.2121,0.1849
86,0.2023,0.1862,0.2111,0.1856
87,0.2031,0.1862,0.2109,0.1821
88,0.2022,0.1881,0.2084,0.1807
89,0.2027,0.1848,0.2103,0.1861
90,0.2038,0.1858,0.2117,0.1826
91,0.2035,0.1872,0.2102,0.1809
92,0.2023,0.187,0.2109,0.1839
93,0.202,0.1857,0.2128,0.1804
94,0.2037,0.1927,0.2084,0.1819
95,0.1998,0.1871,0.2092,0.1822
96,0.2017,0.1856,0.2106,0.1823
97,0.2021,0.1844,0.2094,0.1825
98,0.2032,0.1841,0.212,0.1818
99,0.2038,0.1886,0.2108,0.1844
100,0.2008,0.1868,0.2134,0.1804
101,0.2035,0.1854,0.2104,0.1833
102,0.2021,0.1842,0.2095,0.1805
103,0.201,0.1837,0.2079,0.1821
104,0.1993,0.1846,0.2092,0.1817
105,0.2024,0.1839,0.2094,0.1805
106,0.2025,0.1846,0.2116,0.1811
107,0.2003,0.1843,0.2085,0.1819
108,0.2007,0.1857,0.21,0.1811
109,0.205,0.1847,0.2091,0.1818
110,0.1982,0.1861,0.2103,0.1808
111,0.2035,0.1839,0.208,0.1815
112,0.2025,0.1846,0.2078,0.1821
113,0.1995,0.1831,0.211,0.1804
114,0.1999,0.1845,0.2082,0.1829
115,0.1991,0.1857,0.212,0.1832
116,0.1979,0.1838,0.21,0.1805
117,0.2007,0.1847,0.2109,0.1804
118,0.2019,0.1817,0.2116,0.1826
119,0.2016,0.1841,0.2068,0.1807
120,0.2019,0.1864,0.208,0.1801
